case,inside_count,vertex_count,triangle_count,boundary_edge_count
0,0,0,0,
1,1,7,6,
2,1,4,2,
3,2,9,8,
4,1,4,2,
5,2,9,8,
6,2,8,4,
7,3,11,10,
8,1,4,2,
9,2,9,8,
10,2,6,4,
11,3,9,8,
12,2,6,4,
13,3,9,8,
14,3,8,6,
15,4,9,8,
16,1,4,2,
17,2,9,8,
18,2,8,4,
19,3,11,10,
20,2,8,4,
21,3,11,10,
22,3,12,6,
23,4,13,12,
24,2,8,4,
25,3,11,10,
26,3,10,6,
27,4,11,10,
28,3,10,6,
29,4,11,10,
30,4,12,8,
31,5,11,10,
32,1,4,2,
33,2,9,8,
34,2,6,4,
35,3,9,8,
36,2,8,4,
37,3,11,10,
38,3,10,6,
39,4,11,10,
40,2,8,4,
41,3,11,10,
42,3,8,6,
43,4,9,8,
44,3,10,6,
45,4,11,10,
46,4,10,8,
47,5,9,8,
48,2,6,4,
49,3,9,8,
50,3,8,6,
51,4,9,8,
52,3,10,6,
53,4,11,10,
54,4,12,8,
55,5,11,10,
56,3,10,6,
57,4,11,10,
58,4,10,8,
59,5,9,8,
60,4,12,8,
61,5,11,10,
62,5,12,10,
63,6,9,8,
64,1,4,2,
65,2,9,8,
66,2,8,4,
67,3,11,10,
68,2,6,4,
69,3,9,8,
70,3,10,6,
71,4,11,10,
72,2,8,4,
73,3,11,10,
74,3,10,6,
75,4,11,10,
76,3,8,6,
77,4,9,8,
78,4,10,8,
79,5,9,8,
80,2,6,4,
81,3,9,8,
82,3,10,6,
83,4,11,10,
84,3,8,6,
85,4,9,8,
86,4,12,8,
87,5,11,10,
88,3,10,6,
89,4,11,10,
90,4,12,8,
91,5,11,10,
92,4,10,8,
93,5,9,8,
94,5,12,10,
95,6,9,8,
96,2,8,4,
97,3,11,10,
98,3,10,6,
99,4,11,10,
100,3,10,6,
101,4,11,10,
102,4,12,8,
103,5,11,10,
104,3,12,6,
105,4,13,12,
106,4,12,8,
107,5,11,10,
108,4,12,8,
109,5,11,10,
110,5,12,10,
111,6,9,8,
112,3,8,6,
113,4,9,8,
114,4,10,8,
115,5,9,8,
116,4,10,8,
117,5,9,8,
118,5,12,10,
119,6,9,8,
120,4,12,8,
121,5,11,10,
122,5,12,10,
123,6,9,8,
124,5,12,10,
125,6,9,8,
126,6,12,12,
127,7,7,6,
128,1,7,6,
129,2,12,12,
130,2,9,8,
131,3,12,10,
132,2,9,8,
133,3,12,10,
134,3,11,10,
135,4,12,8,
136,2,9,8,
137,3,12,10,
138,3,9,8,
139,4,10,8,
140,3,9,8,
141,4,10,8,
142,4,9,8,
143,5,8,6,
144,2,9,8,
145,3,12,10,
146,3,11,10,
147,4,12,8,
148,3,11,10,
149,4,12,8,
150,4,13,12,
151,5,12,6,
152,3,11,10,
153,4,12,8,
154,4,11,10,
155,5,10,6,
156,4,11,10,
157,5,10,6,
158,5,11,10,
159,6,8,4,
160,2,9,8,
161,3,12,10,
162,3,9,8,
163,4,10,8,
164,3,11,10,
165,4,12,8,
166,4,11,10,
167,5,10,6,
168,3,11,10,
169,4,12,8,
170,4,9,8,
171,5,8,6,
172,4,11,10,
173,5,10,6,
174,5,9,8,
175,6,6,4,
176,3,9,8,
177,4,10,8,
178,4,9,8,
179,5,8,6,
180,4,11,10,
181,5,10,6,
182,5,11,10,
183,6,8,4,
184,4,11,10,
185,5,10,6,
186,5,9,8,
187,6,6,4,
188,5,11,10,
189,6,8,4,
190,6,9,8,
191,7,4,2,
192,2,9,8,
193,3,12,10,
194,3,11,10,
195,4,12,8,
196,3,9,8,
197,4,10,8,
198,4,11,10,
199,5,10,6,
200,3,11,10,
201,4,12,8,
202,4,11,10,
203,5,10,6,
204,4,9,8,
205,5,8,6,
206,5,9,8,
207,6,6,4,
208,3,9,8,
209,4,10,8,
210,4,11,10,
211,5,10,6,
212,4,9,8,
213,5,8,6,
214,5,11,10,
215,6,8,4,
216,4,11,10,
217,5,10,6,
218,5,11,10,
219,6,8,4,
220,5,9,8,
221,6,6,4,
222,6,9,8,
223,7,4,2,
224,3,11,10,
225,4,12,8,
226,4,11,10,
227,5,10,6,
228,4,11,10,
229,5,10,6,
230,5,11,10,
231,6,8,4,
232,4,13,12,
233,5,12,6,
234,5,11,10,
235,6,8,4,
236,5,11,10,
237,6,8,4,
238,6,9,8,
239,7,4,2,
240,4,9,8,
241,5,8,6,
242,5,9,8,
243,6,6,4,
244,5,9,8,
245,6,6,4,
246,6,9,8,
247,7,4,2,
248,5,11,10,
249,6,8,4,
250,6,9,8,
251,7,4,2,
252,6,9,8,
253,7,4,2,
254,7,7,6,
255,8,0,0,
