case,inside_count,vertex_count,triangle_count,boundary_edge_count
0,0,0,0,0
1,1,10,10,8
2,1,7,6,6
3,2,13,14,10
4,1,8,8,6
5,2,16,18,12
6,2,11,12,8
7,3,15,18,10
8,1,7,6,6
9,2,13,14,10
10,2,14,12,12
11,3,16,18,12
12,2,15,14,12
13,3,19,22,14
14,3,18,18,14
15,4,18,22,12
16,1,18,28,6
17,2,22,30,12
18,2,21,30,10
19,3,21,28,12
20,2,22,32,12
21,3,24,30,16
22,3,21,28,12
23,4,19,24,12
24,2,21,30,10
25,3,21,28,12
26,3,24,32,14
27,4,20,26,12
28,3,25,34,16
29,4,23,28,16
30,4,24,30,16
31,5,18,22,12
32,1,7,6,6
33,2,17,16,14
34,2,12,12,10
35,3,18,20,14
36,2,11,12,8
37,3,19,22,14
38,3,12,14,8
39,4,16,20,10
40,2,14,12,12
41,3,20,20,16
42,3,19,18,16
43,4,21,24,16
44,3,18,18,14
45,4,22,26,16
46,4,19,20,14
47,5,19,24,12
48,2,21,30,10
49,3,25,32,16
50,3,22,30,12
51,4,22,28,14
52,3,21,28,12
53,4,23,26,16
54,4,18,24,10
55,5,16,20,10
56,3,24,32,14
57,4,24,30,16
58,4,25,32,16
59,5,21,26,14
60,4,24,30,16
61,5,22,24,16
62,5,21,26,14
63,6,15,18,10
64,1,8,8,6
65,2,16,18,12
66,2,15,14,12
67,3,19,22,14
68,2,16,16,12
69,3,22,26,16
70,3,19,20,14
71,4,21,26,14
72,2,11,12,8
73,3,15,18,10
74,3,18,18,14
75,4,18,22,12
76,3,19,20,14
77,4,21,26,14
78,4,22,24,16
79,5,20,26,12
80,2,22,32,12
81,3,24,30,16
82,3,25,34,16
83,4,23,28,16
84,3,26,36,18
85,4,26,30,20
86,4,25,32,18
87,5,21,24,16
88,3,21,28,12
89,4,19,24,12
90,4,24,30,16
91,5,18,22,12
92,4,25,32,18
93,5,21,24,16
94,5,24,28,18
95,6,16,18,12
96,2,15,14,12
97,3,23,24,18
98,3,20,20,16
99,4,24,28,18
100,3,19,20,14
101,4,25,30,18
102,4,20,22,14
103,5,22,28,14
104,3,18,18,14
105,4,22,24,16
106,4,23,24,18
107,5,23,28,16
108,4,22,24,16
109,5,24,30,16
110,5,23,26,16
111,6,21,28,12
112,3,25,34,16
113,4,27,32,20
114,4,26,34,18
115,5,24,28,18
116,4,25,32,18
117,5,25,26,20
118,5,22,28,16
119,6,18,20,14
120,4,24,30,16
121,5,22,26,16
122,5,25,30,18
123,6,19,22,14
124,5,24,28,18
125,6,20,20,16
126,6,21,24,16
127,7,13,14,10
128,1,7,6,6
129,2,17,16,14
130,2,14,12,12
131,3,20,20,16
132,2,15,14,12
133,3,23,24,18
134,3,18,18,14
135,4,22,24,16
136,2,12,12,10
137,3,18,20,14
138,3,19,18,16
139,4,21,24,16
140,3,20,20,16
141,4,24,28,18
142,4,23,24,18
143,5,23,28,16
144,2,21,30,10
145,3,25,32,16
146,3,24,32,14
147,4,24,30,16
148,3,25,34,16
149,4,27,32,20
150,4,24,30,16
151,5,22,26,16
152,3,22,30,12
153,4,22,28,14
154,4,25,32,16
155,5,21,26,14
156,4,26,34,18
157,5,24,28,18
158,5,25,30,18
159,6,19,22,14
160,2,14,12,12
161,3,24,22,20
162,3,19,18,16
163,4,25,26,20
164,3,18,18,14
165,4,26,28,20
166,4,19,20,14
167,5,23,26,16
168,3,19,18,16
169,4,25,26,20
170,4,24,24,20
171,5,26,30,20
172,4,23,24,18
173,5,27,32,20
174,5,24,26,18
175,6,24,30,16
176,3,24,32,14
177,4,28,34,20
178,4,25,32,16
179,5,25,30,18
180,4,24,30,16
181,5,26,28,20
182,5,21,26,14
183,6,19,22,14
184,4,25,32,16
185,5,25,30,18
186,5,26,32,18
187,6,22,26,16
188,5,25,30,18
189,6,23,24,18
190,6,22,26,16
191,7,16,18,12
192,2,11,12,8
193,3,19,22,14
194,3,18,18,14
195,4,22,26,16
196,3,19,20,14
197,4,25,30,18
198,4,22,24,16
199,5,24,30,16
200,3,12,14,8
201,4,16,20,10
202,4,19,20,14
203,5,19,24,12
204,4,20,22,14
205,5,22,28,14
206,5,23,26,16
207,6,21,28,12
208,3,21,28,12
209,4,23,26,16
210,4,24,30,16
211,5,22,24,16
212,4,25,32,18
213,5,25,26,20
214,5,24,28,18
215,6,20,20,16
216,4,18,24,10
217,5,16,20,10
218,5,21,26,14
219,6,15,18,10
220,5,22,28,16
221,6,18,20,14
222,6,21,24,16
223,7,13,14,10
224,3,18,18,14
225,4,26,28,20
226,4,23,24,18
227,5,27,32,20
228,4,22,24,16
229,5,28,34,20
230,5,23,26,16
231,6,25,32,16
232,4,19,20,14
233,5,23,26,16
234,5,24,26,18
235,6,24,30,16
236,5,23,26,16
237,6,25,32,16
238,6,24,28,16
239,7,22,30,12
240,4,24,30,16
241,5,26,28,20
242,5,25,30,18
243,6,23,24,18
244,5,24,28,18
245,6,24,22,20
246,6,21,24,16
247,7,17,16,14
248,5,21,26,14
249,6,19,22,14
250,6,22,26,16
251,7,16,18,12
252,6,21,24,16
253,7,17,16,14
254,7,18,20,14
255,8,10,10,8
256,1,10,10,8
257,2,18,20,14
258,2,17,16,14
259,3,21,24,16
260,2,16,18,12
261,3,22,26,16
262,3,19,22,14
263,4,21,26,14
264,2,17,16,14
265,3,21,24,16
266,3,24,22,20
267,4,24,28,18
268,3,23,24,18
269,4,25,30,18
270,4,26,28,20
271,5,24,30,16
272,2,22,30,12
273,3,24,28,16
274,3,25,32,16
275,4,23,26,16
276,3,24,30,16
277,4,24,26,18
278,4,23,26,16
279,5,19,20,14
280,3,25,32,16
281,4,23,26,16
282,4,28,34,20
283,5,22,24,16
284,4,27,32,20
285,5,23,24,18
286,5,26,28,20
287,6,18,18,14
288,2,13,14,10
289,3,21,24,16
290,3,18,20,14
291,4,22,28,16
292,3,15,18,10
293,4,21,26,14
294,4,16,20,10
295,5,18,24,10
296,3,20,20,16
297,4,24,28,18
298,4,25,26,20
299,5,25,32,18
300,4,22,24,16
301,5,24,30,16
302,5,23,26,16
303,6,21,28,12
304,3,21,28,12
305,4,23,26,16
306,4,22,28,14
307,5,20,22,14
308,4,19,24,12
309,5,19,20,14
310,5,16,20,10
311,6,12,14,8
312,4,24,30,16
313,5,22,24,16
314,5,25,30,18
315,6,19,20,14
316,5,22,26,16
317,6,18,18,14
318,6,19,22,14
319,7,11,12,8
320,2,16,18,12
321,3,22,26,16
322,3,23,24,18
323,4,25,30,18
324,3,22,26,16
325,4,26,32,18
326,4,25,30,18
327,5,25,32,16
328,3,19,22,14
329,4,21,26,14
330,4,26,28,20
331,5,24,30,16
332,4,25,30,18
333,5,25,32,16
334,5,28,34,20
335,6,24,32,14
336,3,24,30,16
337,4,24,26,18
338,4,27,32,20
339,5,23,24,18
340,4,26,30,20
341,5,24,24,20
342,5,25,26,20
343,6,19,18,16
344,4,23,26,16
345,5,19,20,14
346,5,26,28,20
347,6,18,18,14
348,5,25,26,20
349,6,19,18,16
350,6,24,22,20
351,7,14,12,12
352,3,19,22,14
353,4,25,30,18
354,4,24,28,18
355,5,26,34,18
356,4,21,26,14
357,5,25,32,16
358,5,22,28,14
359,6,22,30,12
360,4,22,26,16
361,5,24,30,16
362,5,27,32,20
363,6,25,34,16
364,5,24,30,16
365,6,24,32,14
366,6,25,32,16
367,7,21,30,10
368,4,23,28,16
369,5,23,24,18
370,5,24,28,18
371,6,20,20,16
372,5,21,24,16
373,6,19,18,16
374,6,18,20,14
375,7,12,12,10
376,5,22,24,16
377,6,18,18,14
378,6,23,24,18
379,7,15,14,12
380,6,20,20,16
381,7,14,12,12
382,7,17,16,14
383,8,7,6,6
384,2,13,14,10
385,3,21,24,16
386,3,20,20,16
387,4,24,28,18
388,3,19,22,14
389,4,25,30,18
390,4,22,26,16
391,5,24,30,16
392,3,18,20,14
393,4,22,28,16
394,4,25,26,20
395,5,25,32,18
396,4,24,28,18
397,5,26,34,18
398,5,27,32,20
399,6,25,34,16
400,3,21,28,12
401,4,23,26,16
402,4,24,30,16
403,5,22,24,16
404,4,23,28,16
405,5,23,24,18
406,5,22,24,16
407,6,18,18,14
408,4,22,28,14
409,5,20,22,14
410,5,25,30,18
411,6,19,20,14
412,5,24,28,18
413,6,20,20,16
414,6,23,24,18
415,7,15,14,12
416,3,16,18,12
417,4,24,28,18
418,4,21,24,16
419,5,25,32,18
420,4,18,22,12
421,5,24,30,16
422,5,19,24,12
423,6,21,28,12
424,4,21,24,16
425,5,25,32,18
426,5,26,30,20
427,6,26,36,18
428,5,23,28,16
429,6,25,34,16
430,6,24,30,16
431,7,22,32,12
432,4,20,26,12
433,5,22,24,16
434,5,21,26,14
435,6,19,20,14
436,5,18,22,12
437,6,18,18,14
438,6,15,18,10
439,7,11,12,8
440,5,21,26,14
441,6,19,20,14
442,6,22,26,16
443,7,16,16,12
444,6,19,22,14
445,7,15,14,12
446,7,16,18,12
447,8,8,8,6
448,3,15,18,10
449,4,21,26,14
450,4,22,24,16
451,5,24,30,16
452,4,21,26,14
453,5,25,32,16
454,5,24,30,16
455,6,24,32,14
456,4,16,20,10
457,5,18,24,10
458,5,23,26,16
459,6,21,28,12
460,5,22,28,14
461,6,22,30,12
462,6,25,32,16
463,7,21,30,10
464,4,19,24,12
465,5,19,20,14
466,5,22,26,16
467,6,18,18,14
468,5,21,24,16
469,6,19,18,16
470,6,20,20,16
471,7,14,12,12
472,5,16,20,10
473,6,12,14,8
474,6,19,22,14
475,7,11,12,8
476,6,18,20,14
477,7,12,12,10
478,7,17,16,14
479,8,7,6,6
480,4,18,22,12
481,5,24,30,16
482,5,23,28,16
483,6,25,34,16
484,5,20,26,12
485,6,24,32,14
486,6,21,28,12
487,7,21,30,10
488,5,19,24,12
489,6,21,28,12
490,6,24,30,16
491,7,22,32,12
