case,high_segments,low_segments,y_min_segments,x_max_segments,y_max_segments,x_min_segments,total_segments
0,0,0,0,0,0,0,0
1,2,2,2,0,0,2,8
2,3,0,3,0,0,0,6
3,4,2,2,0,0,2,10
4,1,1,2,2,0,0,6
5,3,2,3,2,0,2,12
6,3,1,2,2,0,0,8
7,4,2,0,2,0,2,10
8,3,0,0,0,0,3,6
9,4,2,2,0,0,2,10
10,6,0,3,0,0,3,12
11,6,2,2,0,0,2,12
12,4,1,2,2,0,3,12
13,5,2,3,2,0,2,14
14,6,1,2,2,0,3,14
15,6,2,0,2,0,2,12
16,6,0,0,0,0,0,6
17,6,2,2,0,0,2,12
18,7,0,3,0,0,0,10
19,6,2,2,0,0,2,12
20,7,1,2,2,0,0,12
21,7,2,3,2,0,2,16
22,7,1,2,2,0,0,12
23,6,2,0,2,0,2,12
24,7,0,0,0,0,3,10
25,6,2,2,0,0,2,12
26,8,0,3,0,0,3,14
27,6,2,2,0,0,2,12
28,8,1,2,2,0,3,16
29,7,2,3,2,0,2,16
30,8,1,2,2,0,3,16
31,6,2,0,2,0,2,12
32,3,0,0,3,0,0,6
33,5,2,2,3,0,2,14
34,4,0,3,3,0,0,10
35,5,2,2,3,0,2,14
36,3,1,2,2,0,0,8
37,5,2,3,2,0,2,14
38,3,1,2,2,0,0,8
39,4,2,0,2,0,2,10
40,6,0,0,3,0,3,12
41,7,2,2,3,0,2,16
42,7,0,3,3,0,3,16
43,7,2,2,3,0,2,16
44,6,1,2,2,0,3,14
45,7,2,3,2,0,2,16
46,6,1,2,2,0,3,14
47,6,2,0,2,0,2,12
48,7,0,0,3,0,0,10
49,7,2,2,3,0,2,16
50,6,0,3,3,0,0,12
51,5,2,2,3,0,2,14
52,7,1,2,2,0,0,12
53,7,2,3,2,0,2,16
54,5,1,2,2,0,0,10
55,4,2,0,2,0,2,10
56,8,0,0,3,0,3,14
57,7,2,2,3,0,2,16
58,7,0,3,3,0,3,16
59,5,2,2,3,0,2,14
60,8,1,2,2,0,3,16
61,7,2,3,2,0,2,16
62,6,1,2,2,0,3,14
63,4,2,0,2,0,2,10
64,1,1,0,0,2,2,6
65,3,2,2,0,2,3,12
66,4,1,3,0,2,2,12
67,5,2,2,0,2,3,14
68,2,2,2,2,2,2,12
69,4,2,3,2,2,3,16
70,4,2,2,2,2,2,14
71,5,2,0,2,2,3,14
72,3,1,0,0,2,2,8
73,4,2,2,0,2,0,10
74,6,1,3,0,2,2,14
75,6,2,2,0,2,0,12
76,4,2,2,2,2,2,14
77,5,2,3,2,2,0,14
78,6,2,2,2,2,2,16
79,6,2,0,2,2,0,12
80,7,1,0,0,2,2,12
81,7,2,2,0,2,3,16
82,8,1,3,0,2,2,16
83,7,2,2,0,2,3,16
84,8,2,2,2,2,2,18
85,8,2,3,2,2,3,20
86,8,2,2,2,2,2,18
87,7,2,0,2,2,3,16
88,7,1,0,0,2,2,12
89,6,2,2,0,2,0,12
90,8,1,3,0,2,2,16
91,6,2,2,0,2,0,12
92,8,2,2,2,2,2,18
93,7,2,3,2,2,0,16
94,8,2,2,2,2,2,18
95,6,2,0,2,2,0,12
96,4,1,0,3,2,2,12
97,6,2,2,3,2,3,18
98,5,1,3,3,2,2,16
99,6,2,2,3,2,3,18
100,4,2,2,2,2,2,14
101,6,2,3,2,2,3,18
102,4,2,2,2,2,2,14
103,5,2,0,2,2,3,14
104,6,1,0,3,2,2,14
105,7,2,2,3,2,0,16
106,7,1,3,3,2,2,18
107,7,2,2,3,2,0,16
108,6,2,2,2,2,2,16
109,7,2,3,2,2,0,16
110,6,2,2,2,2,2,16
111,6,2,0,2,2,0,12
112,8,1,0,3,2,2,16
113,8,2,2,3,2,3,20
114,7,1,3,3,2,2,18
115,6,2,2,3,2,3,18
116,8,2,2,2,2,2,18
117,8,2,3,2,2,3,20
